id,cue,reporter,age_group,text_kw,author,label
2224,woman + bleeding gums since she stopped eating fruit,Self,Umuntu mukuru,Amenyo yanjye ava amaraso kuva natangira kutarya imbuto.,,ROUTINE
2225,old man + numbness after sitting on a low stool,Self,Umusaza/Umukecuru,Numva amaguru yabaye nk’ayafashwe n’ibinya nyuma yo kwicara ku ntebe nto.,,ROUTINE
2226,baby + fever the night after the market day,Carer,Impinja,Uruhinja rwagize umuriro nijoro nyuma y’umunsi wo ku isoko.,,URGENT
2227,man + wound from a bicycle spoke,Self,Umwana,Mfite igisebe nakomerekejwe n’icyuma cy’uruziga rw’igare.,,URGENT
2228,woman + pain in the breast after carrying a load on the back,Self,Umuntu mukuru,Ndababara mu ibere nyuma yo gutwara umutwaro ku mugongo.,,ROUTINE
2229,child + swollen feet after walking to school barefoot,Carer,Umwana,Umwana yabyimbye ibirenge nyuma yo kugenda ajya ku ishuri atambaye inkweto.,,ROUTINE
2230,pregnant + cannot eat the family food any more,Self,Umuntu mukuru,Ndatwite kandi ubu sinshobora kurya ibyo umuryango usanzwe urya.,,ROUTINE
2231,old woman + eyes hurt from the cooking smoke,Self,Umusaza/Umukecuru,Amaso arambabaza kubera umwotsi wo guteka.,,ROUTINE
2232,man + itching after wearing a new work uniform,Self,Umuntu mukuru,Uruhu rwarandya nyuma yo kwambara imyenda mishya y’akazi.,,ROUTINE
2233,child + fever + drank from a jerrycan left in the sun,Carer,Umwana,Umwana yagize umuriro nyuma yo kunywa amazi yo muri jerrycan yasizwe ku zuba.,,URGENT
2234,woman + wrist pain from grinding daily,Self,Umuntu mukuru,Ndababara mu kuboko hafi y’ikiganza kubera gusya buri munsi.,,ROUTINE
2235,baby + cold hands and feet in the rainy season,Carer,Impinja,Uruhinja rufite amaboko n’ibirenge bikonje mu gihe cy’imvura.,,ROUTINE
2236,man + chest pain when he pushes the wheelbarrow,Self,Umusaza/Umukecuru,Ndababara mu gatuza iyo nsunika ingorofani.,,URGENT
2237,old man + cough since sleeping near the goats,Self,Umusaza/Umukecuru,Ndakorora kuva natangira kuryama hafi y’ihene.,,ROUTINE
2238,woman + rash where the baby carrier sits,Self,Umuntu mukuru,Nagize utubyimba aho umwikorezo w’umwana unyicarira.,,ROUTINE
2239,child + not growing like his classmates,Carer,Umwana,Umwana ntabwo akura nk’abandi bigana.,,ROUTINE
2240,pregnant + swollen legs after standing at church,Self,Umuntu mukuru,Ndatwite kandi amaguru yarabyimbye nyuma yo guhagarara mu rusengero igihe kirekire.,,ROUTINE
2241,man + cannot lift the hoe since yesterday,Self,Umuntu mukuru,Kuva ejo sinshobora guterura isuka.,,URGENT
2242,woman + pain in the neck from carrying on the head,Self,Umuntu mukuru,Ijosi rirambabaza kubera gutwara ibintu ku mutwe.,,ROUTINE
2243,old woman + weak since the fasting period,Self,Umusaza/Umukecuru,Nacitse intege kuva mu gihe cyo kwiyiriza.,,ROUTINE
2244,child + nosebleed in the dry season only,Carer,Umwana,Umwana ava amaraso mu mazuru gusa mu gihe cy’izuba.,,ROUTINE
2245,man + foot wound from a broken bottle at a bar,Self,Ingimbi/Umwangavu,Mfite igisebe ku kirenge nakomerekejwe n’icupa ryamenetse muri akabari.,,URGENT
2246,baby + rash where the plastic sheet touches,Carer,Impinja,Uruhinja rufite utubyimba aho amashuka ya pulasitike arukoraho.,,ROUTINE
2247,woman + cannot kneel in church any more,Self,Umusaza/Umukecuru,Ubu sinshobora gupfukama mu rusengero.,,ROUTINE
2248,child + coughing after the classroom was swept,Carer,Umwana,Umwana yatangiye gukorora nyuma yo gukubura ishuri.,,ROUTINE
2249,old man + thirsty all day in the heat,Self,Umusaza/Umukecuru,Umunsi wose ndagira inyota cyane iyo hashyushye.,,ROUTINE
2250,man + cut on the palm from a sisal rope,Self,Umuntu mukuru,Nakomeretse mu kiganza nkatwa n’umugozi w’umusuri.,,URGENT
2251,pain in the lower back + third pregnancy,Self,Umuntu mukuru,Ndababara mu mugongo wo hasi kandi iyi ni inda ya gatatu.,,ROUTINE
2252,child + ear discharge since the swimming lesson,Carer,Umwana,Umwana kuva koga yatangiye kugira ibintu biva mu gutwi.,,ROUTINE
2253,woman + headache when she skips breakfast,Self,Ingimbi/Umwangavu,Ndwara umutwe iyo nsize kurya amafunguro ya mu gitondo.,,ROUTINE
2254,man + swollen gum where a tooth was pulled last year,Self,Umuntu mukuru,Ishinya ryarabyimbye aho nakuye iryinyo umwaka ushize.,,ROUTINE
2255,old woman + cannot open her eyes in bright sun,Self,Umusaza/Umukecuru,Sinshobora gukingura amaso iyo izuba rikaze.,,ROUTINE
2256,baby + crying when the nappy is wet only,Carer,Impinja,Uruhinja rurira gusa iyo diaper yaranye.,,ROUTINE
2257,child + a cough that sounds like a dog barking,Carer,Umwana,Umwana afite inkorora yumvikana nk’imbwa irimo kubwagura.,,ROUTINE
2258,pregnant + cannot stop passing urine at night,Self,Umuntu mukuru,Ndatwite kandi sinshobora guhagarika kwihagarika nijoro.,,ROUTINE
2259,man + hand shakes when he writes,Self,Umuntu mukuru,Ukuboko kwanjye kuranyeganyega iyo nandika.,,ROUTINE
2260,woman + pain when she straightens after weeding,Self,Umuntu mukuru,Ndababara iyo mvuye kunama nkora ubuhinzi bw’ibyatsi.,,ROUTINE
2261,old man + food comes back up at night,Self,Umusaza/Umukecuru,Ibiryo biragaruka bikazamuka mu kanwa nijoro.,,ROUTINE
2262,child + swelling after a vaccination two days ago,Carer,Impinja,Uruhinja rwarabyimbye aho rwahawe urukingo hashize iminsi ibiri.,,ROUTINE
2263,man + burning in the feet after drinking,Self,Umuntu mukuru,Ibirenge birandya nk’ibirimo gushya nyuma yo kunywa inzoga.,,ROUTINE
2264,woman + bleeding after starting a new pill,Self,Umuntu mukuru,Natangiye kuva amaraso nyuma yo gutangira ikinini gishya.,,ROUTINE
2265,baby + does not turn towards the mother's voice,Carer,Impinja,Uruhinja ntirureba aho nyina ari iyo rumvise ijwi rye.,,ROUTINE
2266,old woman + wound from a walking stick rubbing,Self,Umusaza/Umukecuru,Mfite igisebe cyatewe n’inkoni nkoresha mu kugenda.,,ROUTINE
2267,child + cannot keep up with other children running,Carer,Umwana,Umwana ntashobora gukurikira abandi bana iyo biruka.,,ROUTINE
2268,man + pain in the jaw since a tooth was filled,Self,Umuntu mukuru,Urwasaya rurambabaza kuva nuzurishije iryinyo.,,ROUTINE
2269,pregnant + pain when the baby kicks one side,Self,Umuntu mukuru,Ndatwite kandi ndababara iyo umwana anteye imigeri ku ruhande rumwe.,,ROUTINE
2270,woman + a sore on the tongue from hot porridge,Self,Umuntu mukuru,Mfite igisebe ku rurimi natewe n’igikoma gishyushye.,,ROUTINE
2271,old man + cannot hold his water on the way to the latrine,Self,Umusaza/Umukecuru,Sinshobora kwifata inkari nkiri mu nzira njya ku musarani.,,ROUTINE
2272,child + eyes itching during the flowering season,Carer,Umwana,Umwana amaso aramurya mu gihe cy’ibimera birabya.,,ROUTINE
2273,man + wound on the shin from a cow's kick,Self,Umuntu mukuru,Mfite igisebe ku nyama y’ukuguru natewe n’inka.,,URGENT
2274,baby + green vomit once this morning,Carer,Impinja,Uruhinja rwaronze ibintu by’icyatsi rimwe muri iki gitondo.,,URGENT
2275,woman + weak legs after a long illness,Self,Umuntu mukuru,Amaguru yanjye yacitse intege nyuma y’uburwayi bumaze igihe.,,ROUTINE
2276,old woman + cannot chew the family food,Self,Umusaza/Umukecuru,Sinshobora guhekenya ibyo umuryango urya.,,ROUTINE
2277,child + swelling of the lip after a wasp,Carer,Umwana,Umwana yabyimbye umunwa nyuma yo kurumwa n’urububi.,,URGENT
2278,man + cough that started with the cold weather,Self,Umuntu mukuru,Natangiye gukorora igihe imbeho yatangiraga.,,ROUTINE
2279,pregnant + very hot at night + cannot sleep,Self,Umuntu mukuru,Ndatwite kandi nijoro ndashyushya cyane ku buryo ntasinzira.,,ROUTINE
2280,woman + a lump where the injection was given,Self,Umuntu mukuru,Mfite akabyimba aho nahawe urushinge.,,ROUTINE
2281,old man + eyes water when he reads,Self,Umusaza/Umukecuru,Amaso arandiza iyo nsoma.,,ROUTINE
2282,child + tooth pain when eating sugarcane,Carer,Umwana,Umwana arwara iryinyo iyo arya ibisheke.,,ROUTINE
2283,man + swollen ankle after the football on Sunday,Self,Ingimbi/Umwangavu,Akagombambari karabyimbye nyuma yo gukina umupira ku Cyumweru.,,ROUTINE
2284,baby + skin very dry and flaking,Carer,Impinja,Uruhinja rufite uruhu rwumye cyane kandi ruragenda rushishuka.,,ROUTINE
2285,woman + pain that starts in the shoulder and goes down,Self,Umuntu mukuru,Ububabare butangirira ku rutugu bukamanuka.,,ROUTINE
2286,old woman + the wound from last season has opened,Self,Umusaza/Umukecuru,Igisebe nari naragize mu gihe cyashize cyongeye gufunguka.,,ROUTINE
2287,child + complains of a headache after watching television,Carer,Umwana,Umwana arwara umutwe nyuma yo kureba televiziyo.,,ROUTINE
2288,man + chest pain when he lifts above the head,Self,Umuntu mukuru,Ndababara mu gatuza iyo nteruye ikintu nkakizamura hejuru y’umutwe.,,ROUTINE
2289,pregnant + baby lies very low + pressure,Self,Umuntu mukuru,"Ndatwite kandi numva umwana ari hasi cyane, nkumva nkoreshejwe n’umuvuduko.",,ROUTINE
2290,woman + fever after the traditional wedding,Self,Umuntu mukuru,Nagize umuriro nyuma y’ubukwe bwa gakondo.,,URGENT
2291,old man + weakness in the legs going downhill,Self,Umusaza/Umukecuru,Amaguru aracika intege iyo manuka umusozi.,,ROUTINE
2292,child + rash after a new mosquito net,Carer,Umwana,Umwana yagize utubyimba nyuma yo gukoresha inzitiramibu nshya.,,ROUTINE
2293,man + cannot open the hand fully in the morning,Self,Umuntu mukuru,Mu gitondo sinshobora gukingura ukuboko neza.,,ROUTINE
2294,baby + hiccups and vomiting together,Carer,Impinja,Uruhinja rurakugara kandi rukaruka icyarimwe.,,ROUTINE
2295,woman + pain in the ribs late in pregnancy + tall baby,Self,Umuntu mukuru,Ndababara mu mbavu mu gihe inda igeze kure kandi numva umwana ari munini.,,ROUTINE
2296,old woman + the tablets are too big to swallow,Self,Umusaza/Umukecuru,Ibinini nahawe ni binini cyane ku buryo ntashobora kubimira.,,ROUTINE
2297,child + fell while carrying the baby brother,Carer,Umwana,Umwana yaguye ubwo yari atwaye murumuna we w’uruhinja.,,CANNOT CLASSIFY
2298,man + burning eyes after a dust storm,Self,Umuntu mukuru,Amaso arandya kandi araka nyuma y’umuyaga w’umukungugu.,,ROUTINE
2299,woman + heavy legs at the end of market day,Self,Umuntu mukuru,Ku mugoroba wo ku munsi w’isoko numva amaguru aremereye.,,ROUTINE
2300,pain in the elbow + carries a child on one arm,Self,Umuntu mukuru,Ndababara mu nkokora kandi nkunda gutwara umwana ku kuboko kumwe.,,ROUTINE
2301,man + a lump under the jaw that hurts on chewing,Self,Umuntu mukuru,Mfite akabyimba munsi y’urwasaya kandya iyo nhekenya.,,ROUTINE
2302,child + fever + went to a burial with the family,Carer,Umwana,Umwana yagize umuriro nyuma yo kujya mu kiriyo n’umuryango.,,URGENT
2303,woman + cannot feel the coil thread any more,Self,Umuntu mukuru,Sinshobora kongera kumva umugozi wa coil.,,ROUTINE
2304,old man + hands too stiff to fasten buttons,Self,Umusaza/Umukecuru,Amaboko yanjye arakakaye cyane ku buryo ntashobora gufunga utubuto.,,ROUTINE
2305,baby + a soft swelling behind the ear,Carer,Impinja,Uruhinja rufite akabyimba korohereye inyuma y’ugutwi.,,URGENT
2306,child + stomach pain after drinking milk,Carer,Umwana,Umwana arwara inda nyuma yo kunywa amata.,,ROUTINE
2307,man + pain when he empties his bladder fully,Self,Umusaza/Umukecuru,Ndababara iyo nshaka kwihagarika nkarangiza inkari zose.,,ROUTINE
2308,pregnant + a sharp pain low down when standing up,Self,Umuntu mukuru,Ndatwite kandi numva ububabare bukomeye hasi iyo mbyutse mpagaze.,,ROUTINE
2309,woman + a wound on the finger that will not close,Self,Umuntu mukuru,Mfite igisebe ku rutoki kidashaka gukira ngo gifunge.,,ROUTINE
2310,old woman + swelling that leaves a mark when pressed,Self,Umusaza/Umukecuru,Mfite kubyimba iyo nkandagiyeho hagasigara akamenyetso.,,ROUTINE
2311,child + one eye looks cloudy in the light,Carer,Umwana,Ijisho rimwe ry’umwana risa n’iryijimye iyo riri mu rumuri.,,URGENT
2312,man + pain that wakes him at the same hour every night,Self,Umuntu mukuru,Ububabare burankangura buri joro ku isaha imwe.,,ROUTINE
2313,woman + itching that started with the pregnancy,Self,Umuntu mukuru,Uruhu rwatangiye kundya kuva natwita.,,ROUTINE
2314,baby + feeds well but stool is very loose,Carer,Impinja,Uruhinja rwonsa neza ariko umusarani warwo uroroshye cyane.,,ROUTINE
2315,old man + cannot straighten up after bending,Self,Umusaza/Umukecuru,Iyo napanze sinshobora kongera guhagarara nkagorora umugongo.,,ROUTINE
2316,child + swelling on the face in the morning only,Carer,Umwana,Umwana abyimba mu maso mu gitondo gusa.,,URGENT
2317,man + cough with a wheeze only at night,Self,Umuntu mukuru,Ndakorora nijoro gusa kandi nkumva mpumeka nsakuza.,,ROUTINE
2318,woman + pain when she presses her lower belly,Self,Umuntu mukuru,Ndababara iyo nkandagiye ku nda hasi.,,ROUTINE
2319,pregnant + the belly has stopped growing,Self,Umuntu mukuru,Ndatwite kandi numva inda yanjye itakomeza gukura.,,URGENT
2320,old woman + a dark spot on the leg that is growing,Self,Umusaza/Umukecuru,Mfite ikibara cyijimye ku kuguru kigenda kiba kinini.,,ROUTINE
2321,child + says the light hurts his eyes,Carer,Umwana,Umwana avuga ko urumuri rumubabaza amaso.,,URGENT
2322,man + a bad taste and bleeding when he spits,Self,Umuntu mukuru,Numva uburyohe bubi mu kanwa kandi nkava amaraso iyo nciriye.,,ROUTINE
2323,baby + one arm always held bent,Carer,Impinja,Uruhinja ruhora rufashe ukuboko kumwe kurambuye nabi.,,ROUTINE
2324,woman + pain in the calf that eases when she stops,Self,Umusaza/Umukecuru,"Ndababara mu nyama y’ukuguru iyo ngenda, ariko bikagabanuka iyo mpagaze.",,ROUTINE
2325,old man + confused after the tablets were changed,Carer,Umusaza/Umukecuru,Umusaza yatangiye kujijwa nyuma yo guhindurirwa imiti.,,URGENT
2326,child + a swelling that moves under the skin,Carer,Umwana,Umwana afite akabyimba kagenda munsi y’uruhu.,,ROUTINE
2327,man + sudden pain in the back with no injury,Self,Umuntu mukuru,Umugongo wanjye watangiye kubabara cyane mu buryo butunguranye kandi nta gikomere nagize.,,URGENT
2328,woman + a discharge that started after the delivery,Self,Umuntu mukuru,Natangiye kugira ibintu biva mu gitsina nyuma yo kubyara.,,ROUTINE
2329,pregnant + reduced movement after a busy market day,Self,Umuntu mukuru,Ndatwite kandi umwana yagabanije kugenda nyuma y’umunsi narushye ku isoko.,,URGENT
2330,old woman + a cough that brings nothing up,Self,Umusaza/Umukecuru,Ndakorora ariko nta mase asohoka.,,ROUTINE
2331,child + will not put the heel down when walking,Carer,Umwana,Umwana ntashyira agatsinsino hasi iyo agenda.,,ROUTINE
2332,man + a wound that itches as it heals,Self,Umuntu mukuru,Igisebe cyanjye kirandya uko kigenda gikira.,,ROUTINE
2333,woman + pain that comes with a full stomach,Self,Umuntu mukuru,Ndababara iyo maze kurya nkagira inda yuzuye.,,ROUTINE
2334,baby + a rash only where the clothes rub,Carer,Impinja,Uruhinja rufite utubyimba gusa aho imyenda irukuba.,,ROUTINE
2335,old man + a swelling in the belly that is soft,Self,Umusaza/Umukecuru,Mfite akabyimba mu nda korohereye.,,ROUTINE
2336,child + breathing fast but playing normally,Carer,Umwana,Umwana ahumeka vuba ariko aracyakina nk’ibisanzwe.,,URGENT
2337,man + numbness in half the face,Self,Umuntu mukuru,Numva uruhande rumwe rw’amaso n’amaso rwarafashwe n’ibinya.,,URGENT
2338,woman + a lump that appeared overnight,Self,Umuntu mukuru,Akabyimba kaje mu ijoro rimwe.,,ROUTINE
2339,pregnant + pain under the breastbone,Self,Umuntu mukuru,Ndatwite kandi ndababara munsi y’igufa riri hagati y’imbavu.,,URGENT
2340,old woman + a wound with clear fluid weeping,Self,Umusaza/Umukecuru,Mfite igisebe gisohoramo amazi asa neza.,,ROUTINE
2341,child + eye rolling inward when tired only,Carer,Umwana,Ijisho ry’umwana rijya imbere gusa iyo ananiwe.,,ROUTINE
2342,man + pain when he turns in bed,Self,Umusaza/Umukecuru,Ndababara iyo ntegeretse umubiri nkiri mu buriri.,,ROUTINE
2343,woman + a smell she noticed after intercourse,Self,Umuntu mukuru,Nabonye impumuro mbi nyuma yo gukora imibonano mpuzabitsina.,,ROUTINE
2344,baby + swelling of both eyelids,Carer,Impinja,Uruhinja rwabyimbye ibitsike by’amaso byombi.,,URGENT
2345,old man + a tremor only when reaching for something,Self,Umusaza/Umukecuru,Ukuboko kuranyeganyega gusa iyo ngerageza gufata ikintu.,,ROUTINE
2346,child + a lump on the neck that moves when swallowing,Carer,Umwana,Umwana afite akabyimba ku ijosi kagenda iyo amize.,,ROUTINE
2347,man + a cough that has changed in the last week,Self,Umuntu mukuru,Inkorora yanjye yarahindutse muri iki cyumweru.,,ROUTINE
2348,woman + pain that spreads to the inner thigh,Self,Umuntu mukuru,Ububabare bukwira bukagera mu rwagati rw’ukuguru.,,ROUTINE
2349,pregnant + hard belly that will not soften,Self,Umuntu mukuru,Ndatwite kandi inda yanjye irakomeye ntirekura ngo yorohere.,,CRITICAL
2350,old woman + weakness only after eating,Self,Umusaza/Umukecuru,Numva nacitse intege nyuma yo kurya gusa.,,ROUTINE
2351,child + bruises in places he cannot reach,Carer,Umwana,Umwana afite ibikomere by’ubururu ahantu adashobora kwikora.,,URGENT
2352,man + a wound that bleeds again each morning,Self,Umuntu mukuru,Igisebe cyanjye cyongera kuva amaraso buri gitondo.,,ROUTINE
2353,woman + hearing her own heartbeat in one ear,Self,Umuntu mukuru,Numva umutima wanjye utera mu gutwi kumwe.,,ROUTINE
2354,baby + a cry that sounds different since yesterday,Carer,Impinja,Uruhinja kuva ejo rurira mu buryo butandukanye n’uko rwari rusanzwe.,,URGENT
2355,old man + a swelling that goes down when he lies flat,Self,Umusaza/Umukecuru,Akabyimba karagabanuka iyo ndyamye neza.,,ROUTINE
2356,child + refuses to be carried on one side,Carer,Impinja,Umwana aranga iyo nshaka kumutwara ku ruhande rumwe.,,CANNOT CLASSIFY
2357,man + pain relieved by pressing on the chest,Self,Umuntu mukuru,Ububabare bwo mu gatuza buragabanuka iyo nkandagiyeho.,,ROUTINE
2358,woman + a taste of blood without bleeding,Self,Umuntu mukuru,Numva uburyohe bw’amaraso mu kanwa ariko nta maraso mbona.,,ROUTINE
2359,pregnant + itching worse on the palms,Self,Umuntu mukuru,Ndatwite kandi ibiganza by’amaboko birandya cyane.,,URGENT
2360,old woman + one pupil larger than the other,Carer,Umusaza/Umukecuru,Umukecuru afite umukara w’ijisho rimwe munini kurusha uw’irindi.,,URGENT
2361,child + a rash that started where the bite was,Carer,Umwana,Utubyimba tw’umwana twatangiriye aho yari yararumwe.,,ROUTINE
2362,man + a lump that hurts only when he coughs,Self,Umuntu mukuru,Akabyimba ndakumva gusa iyo nkoroye.,,ROUTINE
2363,woman + swelling of the face after a new soap,Self,Umuntu mukuru,Mu maso harabyimbye nyuma yo gukoresha isabune nshya.,,URGENT
2364,baby + does not open one hand,Carer,Impinja,Uruhinja ntirukingura ukuboko kumwe.,,ROUTINE
2365,old man + pain in the shoulder only when lying on it,Self,Umusaza/Umukecuru,Ndababara ku rutugu gusa iyo nduryamyeho.,,ROUTINE
2366,child + a cough that stops when he sleeps,Carer,Umwana,Umwana arakorora ariko inkorora igahagarara iyo asinziriye.,,ROUTINE
2367,man + a swelling that appeared after the injection site healed,Self,Umuntu mukuru,Akabyimba kaje nyuma y’uko aho nahawe urushinge hakize.,,ROUTINE
2368,woman + bleeding that started with the new implant,Self,Umuntu mukuru,Natangiye kuva amaraso kuva nshyirwamo implant nshya.,,ROUTINE
2369,pregnant + the baby moves less at night than before,Self,Umuntu mukuru,Ndatwite kandi umwana agenda nijoro gake kurusha mbere.,,URGENT
2370,old woman + a sore that appeared under the denture,Self,Umusaza/Umukecuru,Mfite igisebe munsi y’amenyo y’ibikorano.,,ROUTINE
2371,child + walks well but falls often,Carer,Umwana,Umwana agenda neza ariko agwa kenshi.,,ROUTINE
2372,man + pain that started in one tooth and moved,Self,Umuntu mukuru,Ububabare bwatangiriye ku ryinyo rimwe nyuma bukwira ahandi.,,ROUTINE
2373,woman + the wound looks clean but she has a fever,Self,Umuntu mukuru,Igisebe kirasa neza ariko mfite umuriro.,,URGENT
2374,baby + the navel is wet a week after healing,Carer,Impinja,Uruhinja ururenda ruracyatose hashize icyumweru rwarakize.,,ROUTINE
2375,old man + tired only in the afternoons,Self,Umusaza/Umukecuru,Ndarambirwa cyane nyuma ya saa sita gusa.,,ROUTINE
2376,child + a swelling of one side of the scrotum,Carer,Umwana,Umwana yabyimbye uruhande rumwe rw’imyanya ndangagitsina.,,URGENT
2377,man + a headache that eases when he eats,Self,Umuntu mukuru,Umutwe urambabaza ariko bikagabanuka iyo ndya.,,ROUTINE
2378,woman + pain in the hand that wakes her at three,Self,Umuntu mukuru,Ukuboko kurambabaza bikankangura saa cyenda z’ijoro.,,ROUTINE
2379,pregnant + fluid that stops and starts,Self,Umuntu mukuru,Ndatwite kandi amazi aragenda akaza agahagarara akongera akaza.,,URGENT
2380,old woman + a wound that healed with the skin tight,Self,Umusaza/Umukecuru,Igisebe cyarakize ariko uruhu rwarakomera rukaguma rufashe.,,ROUTINE
2381,child + speaks less than his younger sister,Carer,Umwana,Umwana avuga make kurusha murumuna we.,,ROUTINE
2382,man + a swelling that is harder than it was,Self,Umuntu mukuru,Akabyimba karakomeye kurusha uko kari kameze mbere.,,ROUTINE
2383,woman + a period that lasted two days only,Self,Ingimbi/Umwangavu,Imihango yanjye yamaze iminsi ibiri gusa.,,ROUTINE
2384,baby + hands and feet peeling,Carer,Impinja,Uruhinja uruhu rwo ku maboko no ku birenge rurashishuka.,,ROUTINE
2385,old man + pain that changed from dull to sharp,Self,Umusaza/Umukecuru,Ububabare bwahindutse buva ku bworoheje buhinduka ubukomeye kandi bukarasa.,,CANNOT CLASSIFY
2386,child + eyes that look different in a photograph,Carer,Umwana,Amaso y’umwana agaragara atandukanye iyo tumufotoye.,,ROUTINE
2387,man + a wound that stopped hurting but looks worse,Self,Umusaza/Umukecuru,Igisebe ntikikimbabaza ariko ndabona gisa nabi kurusha mbere.,,URGENT
2388,woman + a swelling that appears before the period,Self,Umuntu mukuru,Ngira akabyimba mbere y’uko imihango iza.,,ROUTINE
2389,pregnant + a cough she cannot control,Self,Umuntu mukuru,Ndatwite kandi mfite inkorora ntashobora guhagarika.,,ROUTINE
2390,old woman + a lump that was there before the operation,Self,Umusaza/Umukecuru,Akabyimba kariho na mbere y’uko mbagwa.,,ROUTINE
2391,child + one foot colder than the other,Carer,Umwana,Ikirenge kimwe cy’umwana kirakonje kurusha ikindi.,,URGENT
2392,man + a pain that moves from side to side,Self,Umuntu mukuru,Ububabare buragenda buva ku ruhande rumwe bukajya ku rundi.,,CANNOT CLASSIFY
2393,woman + discharge that changed colour this week,Self,Umuntu mukuru,Ibintu biva mu gitsina byahinduye ibara muri iki cyumweru.,,ROUTINE
2394,baby + bruise on the cheek after feeding,Carer,Impinja,Uruhinja rwagize ikimenyetso cy’ubururu ku itama nyuma yo konsa.,,URGENT
2395,old man + a cough that makes him vomit,Self,Umusaza/Umukecuru,Inkorora ituma nduka.,,ROUTINE
2396,child + swelling around a thorn that is still inside,Carer,Umwana,Umwana yabyimbye ahari igisate cy’umwenda w’umwaro kikiri imbere.,,ROUTINE
2397,man + numbness after a long motorbike ride,Self,Umuntu mukuru,Numva mfashwe n’ibinya nyuma yo gutwara moto igihe kirekire.,,ROUTINE
2398,woman + pain when she lies on her left,Self,Umuntu mukuru,Ndababara iyo ndyamye ku ruhande rw’ibumoso.,,ROUTINE
2399,pregnant + the swelling did not go down overnight,Self,Umuntu mukuru,Ndatwite kandi kubyimba ntibyagabanutse nijoro.,,URGENT
2400,old woman + a sore that appeared where she scratched,Self,Umusaza/Umukecuru,Mfite igisebe aho nari nishimaguriye.,,ROUTINE
2401,asks whether a child can be treated without the father's consent,Carer,Umwana,Ndashaka kumenya niba umwana ashobora kuvurwa nta burenganzira bwa se.,,ROUTINE
2402,woman + wants to be seen by a female clinician,Self,Umuntu mukuru,Ndashaka ko ansuzuma umuganga w’umugore.,,ROUTINE
2403,man + asks whether the result will be told to his employer,Self,Umuntu mukuru,Ndashaka kumenya niba ibisubizo byanjye bizabwirwa umukoresha wanjye.,,ROUTINE
2404,old woman + asks whether her son must be told,Self,Umusaza/Umukecuru,Ndashaka kumenya niba umuhungu wanjye agomba kubimenyeshwa.,,ROUTINE
2405,child + asks not to be given an injection,Self,Umwana,Sinshaka ko bampa urushinge.,,ROUTINE
2406,woman + asks whether she can be seen without her card,Self,Umuntu mukuru,Ndashaka kumenya niba bansuzuma ntagize ikarita yanjye.,,ROUTINE
2407,man + asks why the queue moved past him,Self,Umuntu mukuru,Ndashaka kumenya impamvu umurongo wanyirengagije.,,ROUTINE
2408,pregnant + asks whether her mother can come in with her,Self,Ingimbi/Umwangavu,Ndatwite kandi ndashaka kumenya niba mama ashobora kwinjirana nanjye.,,ROUTINE
2409,old man + asks whether he can be seen before dark,Self,Umusaza/Umukecuru,Ndashaka kumenya niba bansuzuma mbere y’uko bwira.,,ROUTINE
2410,woman + asks how much the treatment will cost,Self,Umuntu mukuru,Ndashaka kumenya amafaranga ubuvuzi buzantwara.,,ROUTINE
2411,man + asks whether the wound can be treated today,Self,Umuntu mukuru,Ndashaka kumenya niba igisebe cyanjye gishobora kuvurwa uyu munsi.,,ROUTINE
2412,child + parent asks for the same doctor as last time,Carer,Umwana,Ndashaka ko umwana asuzumwa na muganga wamubonye ubushize.,,ROUTINE
2413,woman + asks whether she can come back with her husband,Self,Umuntu mukuru,Ndashaka kumenya niba nshobora kugaruka ndi kumwe n’umugabo wanjye.,,ROUTINE
2414,old woman + asks whether she must come every month,Self,Umusaza/Umukecuru,Ndashaka kumenya niba ngomba kuza buri kwezi.,,ROUTINE
2415,man + asks whether he can be treated without a card,Self,Umuntu mukuru,Ndashaka kumenya niba navurwa ntagize ikarita.,,ROUTINE
2416,woman + asks whether the test can be done today,Self,Umuntu mukuru,Ndashaka kumenya niba ikizamini gishobora gukorwa uyu munsi.,,ROUTINE
2417,child + parent asks whether the sibling must also be seen,Carer,Umwana,Ndashaka kumenya niba n’undi mwana wacu agomba gusuzumwa.,,ROUTINE
2418,old man + asks whether the referral can wait a week,Self,Umusaza/Umukecuru,Ndashaka kumenya niba koherezwa kwa muganga bishobora gutegereza icyumweru.,,ROUTINE
2419,woman + asks whether she can be given the tablets for her mother,Carer,Umusaza/Umukecuru,Ndashaka kumenya niba nahawe imiti y’umubyeyi wanjye nkayimutwarira.,,ROUTINE
2420,man + asks whether the injection can be given in the arm,Self,Umuntu mukuru,Ndashaka kumenya niba urushinge bashobora kurumpa mu kuboko.,,ROUTINE
2421,pain in the back that started after prayer meeting,Self,Umuntu mukuru,Umugongo watangiye kumbabaza nyuma y’inama yo gusenga.,,ROUTINE
2422,woman + cannot stop worrying about her health,Self,Umuntu mukuru,Sinshobora guhagarika guhangayikira ubuzima bwanjye.,,ROUTINE
2423,man + thinks everyone is talking about him,Self,Ingimbi/Umwangavu,Numva ko abantu bose bari kuvuga ibyanjye.,,ROUTINE
2424,old woman + sees her late husband in the house,Self,Umusaza/Umukecuru,Numva mbona umugabo wanjye wapfuye ari mu nzu.,,ROUTINE
2425,child + refuses to leave the mother's side,Carer,Umwana,Umwana yanga kuva iruhande rwa nyina.,,ROUTINE
